心得体会
1.21212121212121e+104
2.12121221212211e+103
1.11111111111111e+101
1.11111111111111e+101
http://www.whutyiban.com/list/new/xy/jisuanjixueyuan/2017-11-21/2609.htmlhttp://www.whutyiban.com/list/new/xy/jisuanjixueyuan/2017-11-21/2625.htmlhttp://www.whutyiban.com/list/new/xy/jisuanjixueyuan/2017-11-21/2609.html
emmm，buy self-learning ,I feel it is a little difficult ,maybe I have no idea about "chengxushejiyuyan",from The flolowing classes ,I will listen carefully to find it's easy.
4.11111111111111e+102
1.11111111111111e+103
#include<stdio.h> int main (void) { int i,m,n; for (m=2;m<=1000;m++) { n=0; for (i=1;i<=m/2;i++) if(m%i==0) n=n+i; if (n==m) printf("%d\n",m); } return 0; }
1.11111111111111e+101
hahahahahahahahahdjfhlsdjkahfldkjfhaiweufhjklwehlavkjhdslkjvahlkfuhnsdkjafhsdkjafhlekawhlkedbhafklwjhfdlkjshfldkjahskldj
