二叉查找树           Binary search tree
线索二叉树           Threaded binary tree
哈夫曼树              Huffman tree
有序树/无序树             Ordered tree / Unordered tree
判定树          Decision tree
数字查找树           Digital search tree
树的遍历              Traversal of tree
先序遍历              Preorder traversal
中序遍历              Inorder traversal
后序遍历              Postorder traversal
子图              Subgraph
有向图/无向图             Digraph(directed graph)/Undigraph(undirected graph)
完全图           Complete graph
连通图           Connected graph
非连通图              Unconnected graph
强连通图              Strongly connected graph
弱连通图              Weakly connected graph
有向无环图           Directed acyclic graph
重连通图              Biconnected graph
二部图           Bipartite graph
边           Edge
顶点              Vertex
连接点          Articulation point
初始结点              Initial node
终端结点              Terminal node
相邻边           Adjacent edge
相邻顶点              Adjacent vertex
关联边           Incident edge
入度/出度             In-degree/ Out-degree
有序对/无序对             Ordered pair/ Unordered pair
简单路径              Simple path
简单回路              Simple cycle
连通分量              Connected component
邻接矩阵              Adjacency matrix
邻接表           Adjacency list
邻接多重表           Adjacency multi-list
遍历图           Traversing graph
生成树           Spanning tree
拓扑排序              Topological sort
偏序              Partial order
AOV网          Activity On Vertex network
AOE网          Activity On Edge network
关键路径              Critical path
线性查找（顺序查找）              Linear search (Sequential search)
二分查找              Binary search
分块查找              Block search
散列查找              Hash search
平均查找长度              Average search length
散列表           Hash table
散列函数              Hash function
直接定址法           Immediately allocating method
数字分析法           Digital analysis method
平方取中法           Mid-square method
随机数法       Random number method
内部排序              Internal sort
外部排序              External sort
选择排序              Selection sort
基数排序              Radix sort
平衡归并排序              Balance merging sort
二路平衡归并排序              Balance two-way merging sort
多步归并排序              Ploy phase merging sort
置换选择排序              Replacement selection sort
索引文件              Indexed file
索引顺序文件              Indexed sequential file
索引非顺序文件           Indexed non-sequential file
多重链表文件              Multi-list file
倒排文件              Inverted file
5.4.5          计算机网络相关术语
端口              Port
服务器           Server
客户端           Client
服务访问点           SAP (Service Access Point)
开放系统互联              OSI (Open System Interconnection)
物理层           Physical layer
数据链路层           Data link layer
网络层           Network layer
运输层           Transport layer
会话层           Session layer
表示层           Presentation layer
应用层           Application layer
TCP/IP协议          TCP / IP protocol
信道容量              Channel capacity
香农              Shannon
奈奎斯特              Nyquist
双绞线           UTP (Unshielded Twisted Paired)
同轴电缆              Coaxial cable
光纤              Optical fiber
不归零码              NRZ (Non Return to Zero)
曼彻斯特编码              Manchester coding
调制              Modulation
脉码调制             PCM (Pulse Code Modulation)
增量调制              DM (Delta Modulation)
同步传输/异步传输             Synchronous transmission / ATM (Asynchronous transmission)
循环冗余校验              CRC (Cyclic Redundancy Check)
流量控制              Flow control
滑动窗口              Sliding window
差错控制              Error control
帧结构           Frame structure
复用              Reuse     
非对称数字用户线路           ADSL (Asymmetric digital subscriber line)
电路交换和分组交换           Circuit switching and packet switching
频分多路复用              Frequency division multiplexing
信令                     Signaling
数据报                  Datagram
虚电路                  Virtual circuit
帧中继                  Frame relay   
信元                     Ceil
拥塞                     Congestion
反压                     Back pressure
令牌桶                  Token bucket
环形/总线形/树形和星形结构            Ring/ bus/ tree and star structure        
局域网                  LAN (local area network)
集线器                  Hub
交换机                  Switch
路由器                  Router
网桥                     Network bridge
以太网监听算法           Ethernet listener algorithm
子网掩码              Subnet mask
三次握手              Three-way handshake
地址解析协议              APP (Address resolution protocol)
瘦客户机              Thin client
网际控制报文协议              ICMP (Internet Control Message Protocol)
因特网群组管理协议           IGMP (Internet Group Management Protocol)
拒绝服务              Denial of service
边界网关              Border gateway
域名系统              DNS (Domain Name System)
数据链路控制              DLC (Data Link Control)
互联网电子邮件协议标准           POP (Post Office Protocol)
远程控制              Remote control
简单邮件传送协议              SMTP (Simple Mail Transport Protocol) 
